loinc_code,long_common_name,component,property,time_aspect,system,scale,method,units,category,search_text
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,,%,laboratory,HbA1c glycated hemoglobin A1c percent % blood diabetes
59261-8,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,Hemoglobin A1c/Hemoglobin.total,MFr,Pt,Bld,Qn,IFCC,mmol/mol,laboratory,HbA1c glycated hemoglobin A1c mmol/mol IFCC blood diabetes
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creatinine,MCnc,Pt,Ser/Plas,Qn,,umol/L,laboratory,creatinine serum plasma renal kidney function umol/L
33914-3,Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum or Plasma by Creatinine-based formula (MDRD),Glomerular filtration rate/1.73 sq M.predicted,VRat/Area,Pt,Ser/Plas,Qn,MDRD,mL/min/1.73m2,laboratory,eGFR estimated glomerular filtration rate kidney creatinine MDRD mL/min CKD
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,MCnc,Pt,Ser/Plas,Qn,,mmol/L,laboratory,total cholesterol lipid panel serum plasma mmol/L cardiovascular
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol in HDL,MCnc,Pt,Ser/Plas,Qn,,mmol/L,laboratory,HDL cholesterol high-density lipoprotein serum plasma mmol/L
43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma,Cholesterol non HDL,MCnc,Pt,Ser/Plas,Qn,,mmol/L,laboratory,non-HDL cholesterol serum plasma mmol/L lipid
2571-8,Triglycerides [Mass/volume] in Serum or Plasma,Triglycerides,MCnc,Pt,Ser/Plas,Qn,,mmol/L,laboratory,triglycerides TG lipid panel serum plasma mmol/L
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,Cholesterol in LDL,MCnc,Pt,Ser/Plas,Qn,Calculation,mmol/L,laboratory,LDL cholesterol low-density lipoprotein calculated serum plasma mmol/L Friedewald
20448-7,Insulin [Units/volume] in Serum or Plasma,Insulin,ACnc,Pt,Ser/Plas,Qn,,mIU/L,laboratory,fasting insulin serum plasma mIU/L mE/L units
74774-1,Insulin resistance [Units/volume] HOMA-IR in Serum or Plasma,Insulin resistance,Arb,Pt,Ser/Plas,Qn,,{ratio},laboratory,HOMA-IR insulin resistance index fasting glucose insulin
26881-3,Interleukin 6 [Mass/volume] in Serum or Plasma,IL-6,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-6 interleukin-6 cytokine inflammation serum plasma pg/mL
14806-1,TNF [Mass/volume] in Serum or Plasma,TNF,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,TNF-alpha tumor necrosis factor alpha cytokine serum plasma pg/mL
79435-5,Interleukin 1 beta [Mass/volume] in Serum or Plasma,IL-1 beta,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-1b IL-1beta interleukin-1 beta cytokine inflammation serum plasma pg/mL
49127-5,Interleukin 8 [Mass/volume] in Serum or Plasma,IL-8,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-8 CXCL8 interleukin-8 cytokine neutrophil chemoattractant serum plasma pg/mL
29355-1,Interleukin 10 [Mass/volume] in Serum or Plasma,IL-10,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-10 interleukin-10 anti-inflammatory cytokine serum plasma pg/mL
51394-4,CCL2 (Monocyte chemoattractant protein-1) [Mass/volume] in Serum or Plasma,MCP-1,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,MCP-1 CCL2 monocyte chemoattractant protein-1 cytokine serum plasma pg/mL
49523-5,Interferon gamma [Mass/volume] in Serum or Plasma,IFN-gamma,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IFN-gamma interferon-gamma Th1 cytokine serum plasma pg/mL
30520-3,Interleukin 12 [Mass/volume] in Serum or Plasma,IL-12,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-12 p70 interleukin-12 cytokine serum plasma pg/mL
60557-9,Interleukin 17A [Mass/volume] in Serum or Plasma,IL-17A,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-17A interleukin-17A Th17 cytokine serum plasma pg/mL
79436-3,Interleukin 18 [Mass/volume] in Serum or Plasma,IL-18,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-18 interleukin-18 IFN-gamma inducer cytokine serum plasma pg/mL
83990-3,Interleukin 23 [Mass/volume] in Serum or Plasma,IL-23,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-23 interleukin-23 Th17 axis cytokine serum plasma pg/mL
83991-1,Interferon alpha 2 [Mass/volume] in Serum or Plasma,IFN-alpha2,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IFN-alpha2 interferon alpha-2 type I interferon antiviral cytokine serum plasma pg/mL
83989-5,Interleukin 33 [Mass/volume] in Serum or Plasma,IL-33,MCnc,Pt,Ser/Plas,Qn,,pg/mL,laboratory,IL-33 interleukin-33 alarmin tissue damage cytokine serum plasma pg/mL
8867-4,Heart rate,Heart rate,NRat,Pt,{beat},Qn,,/min,vital-signs,heart rate HR pulse bpm beats per minute continuous monitoring wearable
40443-4,Heart rate --resting,Heart rate^resting,NRat,Pt,{beat},Qn,,/min,vital-signs,resting heart rate HR bpm beats per minute daily baseline wearable Polar
8637-1,RR interval [Time] by EKG,RR interval,Time,Pt,Heart,Qn,,ms,vital-signs,RR interval interbeat interval milliseconds ms ECG EKG HRV cardiac wearable chest strap Polar H10
55423-8,Number of steps in unspecified time Pedometer,Steps,Ncnc,Pt,^Patient,Qn,Pedometer,{steps},activity,step count steps pedometer daily activity wearable
89574-8,Active minutes per day,Active minutes,Time,24H,{setting},Qn,,min,activity,active minutes exercise physical activity daily wearable polar
55424-6,Calories burned Estimated,Calories burned,Eact,Pt,^Patient,Qn,,kcal,activity,calories burned energy expenditure kcal kilocalories daily activity wearable
41950-7,Number of steps in 24 hour Measured,Steps,Ncnc,24H,^Patient,Qn,Pedometer,{steps},activity,steps daily 24-hour step count measured pedometer wearable
80404-7,RR interval.standard deviation (SDNN),RR interval SD,Time,Pt,Heart,Qn,,ms,vital-signs,RMSSD HRV heart rate variability overnight nightly autonomic nervous system ms wearable
93832-4,Total sleep time [Duration],Sleep duration,Time,Night,^Patient,Qn,,min,sleep,total sleep duration minutes nightly sleep wearable polar watch
93840-7,Deep sleep duration,Deep sleep,Time,Night,^Patient,Qn,,min,sleep,deep sleep NREM slow-wave sleep duration minutes nightly wearable
93841-5,REM sleep duration,REM sleep,Time,Night,^Patient,Qn,,min,sleep,REM sleep rapid eye movement duration minutes nightly wearable
93843-1,Light sleep duration,Light sleep,Time,Night,^Patient,Qn,,min,sleep,light sleep NREM stage 1 2 duration minutes nightly wearable
93844-9,Wakefulness during sleep [Duration],Wakefulness,Time,Night,^Patient,Qn,,min,sleep,awake time sleep wakefulness minutes nightly wearable
93842-3,Sleep quality index [Score],Sleep score,Score,Night,^Patient,Qn,,{score},sleep,sleep score quality index 0-100 nightly wearable polar
9279-1,Respiratory rate,Respiratory rate,NRat,Pt,Resp tract,Qn,,/min,vital-signs,breathing rate respiratory rate breaths per minute nightly sleep wearable
55440-2,Daily activity index,Activity index,Anat,24H,^Patient,Qn,,{index},activity,daily activity index score 0-1 dimensionless wearable polar
82290-8,Distance walked in unspecified time Estimated,Distance,Len,Pt,^Patient,Qn,,m,activity,distance walked traveled meters metres daily activity wearable
89576-3,Cardiorespiratory fitness estimated,VO2max,VRat/Mass,Pt,^Patient,Qn,,mL/min/kg,activity,cardio load fitness VO2max aerobic capacity wearable polar
