variable,form,type,label,units_or_choices,min,max,redcap_status,notes
ldl_chol_b,blood_labs,numeric,LDL cholesterol,mmol/L,0.5,6.0,existing_in_redcap,Optimal <2.6; near-optimal 2.6-3.3; borderline 3.4-4.0; high ≥4.1.
insulin_b,blood_labs,numeric,Fasting insulin,mE/L,2.0,25.0,existing_in_redcap,Reference 2-15.
homa_b,blood_labs,numeric,HOMA-IR index,(insulin*glucose)/22.5,0.3,10,existing_in_redcap,Insulin-resistance proxy; >2.5 suggests resistance.
subject_id,blood_cytokines,string,Subject pseudonym,Format MFU-XXXX,,,proposed_new,Join key.
visit_id,blood_cytokines,string,Baseline visit id,Format {subject_id}_start,,,proposed_new,Cytokines measured once at baseline.
visit_date,blood_cytokines,date,Sample collection date,ISO-8601 YYYY-MM-DD,,,existing_in_redcap,
il6_b,blood_cytokines,numeric,Interleukin-6,pg/mL,0,15,proposed_new,"Pro-inflammatory; elevated in chronic inflammation, dementia, frailty. Healthy 1-7; inflamed 7-30. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file."
tnfa_b,blood_cytokines,numeric,Tumor necrosis factor alpha,pg/mL,0,12,proposed_new,Pro-inflammatory. Healthy 1-10. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il1b_b,blood_cytokines,numeric,Interleukin-1 beta,pg/mL,0,2,proposed_new,Pro-inflammatory; innate immunity. Healthy 0.1-1. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il8_b,blood_cytokines,numeric,Interleukin-8 / CXCL8,pg/mL,0,40,proposed_new,Neutrophil chemoattractant. Healthy 5-20. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il10_b,blood_cytokines,numeric,Interleukin-10,pg/mL,0,5,proposed_new,Anti-inflammatory; co-elevated with pro-inflammatory in chronic disease. Healthy 0.5-3. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
mcp1_b,blood_cytokines,numeric,Monocyte chemoattractant protein-1 / CCL2,pg/mL,0,800,proposed_new,"Monocyte/macrophage recruiter; elevated in inflammation, obesity, AD. Healthy 100-400. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file."
ifng_b,blood_cytokines,numeric,Interferon gamma,pg/mL,0,5,proposed_new,Th1 effector. Healthy 0.5-3. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il12p70_b,blood_cytokines,numeric,Interleukin-12 p70,pg/mL,0,2,proposed_new,Pro-inflammatory bioactive heterodimer. Healthy 0.1-1. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il17a_b,blood_cytokines,numeric,Interleukin-17A,pg/mL,0,5,proposed_new,Th17 cytokine. Healthy 0.5-3. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il23_b,blood_cytokines,numeric,Interleukin-23,pg/mL,0,10,proposed_new,Th17 axis upstream. Healthy 0.5-5. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il18_b,blood_cytokines,numeric,Interleukin-18,pg/mL,0,500,proposed_new,IFN-γ inducer. Healthy 100-300. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
ifna2_b,blood_cytokines,numeric,Interferon alpha 2,pg/mL,0,14,proposed_new,Anti-viral / type I interferon. Healthy 1-10. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
il33_b,blood_cytokines,numeric,Interleukin-33,pg/mL,0,15,proposed_new,Alarmin; tissue damage signal. Healthy 1-10. The _b suffix is a project naming convention (not aligned with visit_id _start). Values are fully synthesised from healthy-elderly serum ranges; not in any master file.
